Pays_Ou_Entites,Total_cas_confirmés,Total_deces,Superficie_(En_Km2),Population_Mi-2019,Taux_De_Natalite_(Pour_1_000_Habitants),Taux_De_Mortalite_(Pour_1_000_Habitants),Projection_De_La_Population_En_2050,Taux_De_Mortalite_Infantile_(Pour_1_000_Naissances),Indice_Synthetique_De_Fecondite_(Enfants_Par_Femme),Proportion_De_Moins_De_15_Ans_(En_%),Population_de_moins_de_15_ans,Proportion_De_65_Ans_Ou_Plus_(En_%),Population_de_65_ans_ou_plus,Esperance_De_Vie_A_La_Naissance_Hommes_Femmes_(En_Annees),Revenu_National_Brut_P.P.A._Par_Hab._En_2018_(En_Dollars_Us),Lat,Long,Total_cas_remission,Fatality_Rate,value,labels
Kazakhstan,8169473,91278,664900000,4538400000.0,4880,1708,5856000000,1708.0,658.800000000001,70.75999999999999,13161360.0,19.519999999999936,363072000.0,16836.0,5912120.0,11716.782399999945,16329.382799999936,6221413,1.1173058531437707,1,-1
Kenya,2196490,39539,141520000,12834400000.0,6832,1220,22448000000,8540.0,829.5999999999965,95.16000000000012,50054160.0,4.879999999999984,256688000.0,15616.0,836920.0,-5.758400000000012,9249.112800000015,1139126,1.800099249256769,1,-1
Kirghizistan,2951077,83621,48800000,1561600000.0,5856,1464,2196000000,3660.0,732.0,80.51999999999967,5153280.0,12.200000000000038,78080000.0,16348.0,922320.0,10053.86871999998,18242.92791200001,2290209,2.833575674236897,1,-1
Kosovo,870770,28182,2684000,439200000.0,3172,1220,414800000,2440.0,414.79999999999825,58.56000000000013,1054080.0,19.519999999999936,35136000.0,18056.0,243756.0,10395.04318399995,5100.326388000004,540677,3.2364459041997313,1,-1
Koweit,7706335,51963,4392000,1024800000.0,3172,732,1220000000,1708.0,512.4000000000023,53.67999999999983,2254560.0,7.320000000000016,30744000.0,18300.0,20347160.0,7152.045040000023,11585.550904000043,6299734,0.6742893995654224,1,-1
Laos,3438,0,57828000,1756800000.0,5612,1464,2196000000,9028.0,634.4000000000029,78.07999999999974,5621760.0,9.759999999999968,70272000.0,16104.0,1729960.0,4844.929880000031,25008.901023999908,2672,0.0,1,-1
Lesotho,62804,1636,7320000,512400000.0,6344,3416,658800000,14396.0,756.4000000000033,78.07999999999974,1639680.0,12.200000000000038,25620000.0,12444.0,880840.0,-7224.839999999971,6888.99839999996,24274,2.6049296223170497,1,-1
Lettonie,194681,4331,15860000,463600000.0,2684,3660,366000000,732.0,414.79999999999825,39.03999999999987,741760.0,48.80000000000015,92720000.0,17080.0,6873480.0,13878.622400000042,6003.180799999968,138462,2.2246649647371854,1,-1
Liban,977898,11805,2440000,1683600000.0,4148,976,1708000000,2196.0,512.4000000000023,63.43999999999985,4377360.0,17.080000000000048,117852000.00000001,18788.0,3076840.0,8260.546799999978,8750.401199999973,348598,1.2071811170490174,1,-1
Liberia,123291,7855,27084000,1195600000.0,8052,1708,2196000000,12688.0,1024.8000000000045,100.03999999999945,4901960.0,7.320000000000016,35868000.0,15372.0,275720.0,1568.4454200000039,-2300.797756000003,75102,6.371105757922314,2,-1
Libye,785395,13945,429440000,1659200000.0,4392,1220,2196000000,2440.0,536.7999999999987,68.32000000000019,4645760.000000001,9.759999999999968,66368000.0,17080.0,5121560.0,6425.764400000005,4203.71276399998,205477,1.7755396965857946,1,-1
Liechtenstein,15955,172,39040,9760000.0,2440,1708,9760000,732.0,341.59999999999934,36.59999999999983,14640.0,243756.0,243756.0,20008.0,243756.0,11502.159999999983,2330.1999999999985,14721,1.0780319649012848,1,-1
Lituanie,341751,11706,15860000,683200000.0,2440,3416,512400000,976.0,414.79999999999825,36.59999999999983,1024800.0,48.80000000000015,136640000.0,17080.0,7788480.0,13461.333600000056,5827.037200000002,223379,3.4253008769542737,1,-1
Luxembourg,904218,18463,634400,146400000.0,2684,1708,195200000,732.0,341.59999999999934,39.03999999999987,234240.0,34.160000000000096,20496000.000000004,19520.0,19676160.0,12154.933200000041,1495.6223999999966,727747,2.0418748576117705,1,-1
Macedoine,1203725,53593,6344000,512400000.0,2684,2440,463600000,2440.0,366.0,39.03999999999987,819840.0,34.160000000000096,71736000.0,18056.0,3584360.0,10152.49839999994,5305.853199999984,789739,4.452262767658726,1,-1
Madagascar,997386,11458,143228000,6588000000.0,7808,1464,13176000000,6588.0,976.0,97.6000000000003,26352000.0,7.320000000000016,197640000.0,15860.0,385520.0,-4579.135068000012,11436.062108000067,798294,1.1488029709661054,1,-1
Malaisie,1401953,20041,80520000,7783600000.0,4148,1220,10004000000,1464.0,488.0,58.56000000000013,18680640.0,17.080000000000048,544852000.0,18056.0,7466400.0,1027.3580959999947,24882.086903999912,1205154,1.429505839354101,1,-1
Malawi,378822,10589,28792000,4538400000.0,8296,1464,9272000000,9272.0,1000.4000000000038,104.92000000000061,19515120.0,7.320000000000016,136152000.0,14884.0,319640.0,-3234.0492000000118,8369.565999999952,193796,2.7952442044020676,1,-1
Maldives,559329,2130,73200,122000000.0,3416,732,146400000,1464.0,439.2000000000018,48.80000000000015,244000.0,9.759999999999968,4880000.0,19032.0,3445280.0,781.4832000000038,17865.850800000007,371078,0.3808134389598966,1,-1
Mali,304394,15275,302560000,4806800000.0,10004,2196,10736000000,15372.0,1415.1999999999937,114.67999999999978,22591960.0,4.879999999999984,96136000.0,14396.0,544120.0,4287.248847999977,-975.0645040000027,212858,5.018167243769589,2,-1
Malte,160573,1418,78080,107360000.0,2440,1952,104920000,1220.0,366.0,34.160000000000096,150304.00000000003,51.24000000000017,22545600.0,19764.0,9198800.0,8768.75,3507.5975999999837,119870,0.883087443094418,1,-1
